dataset,source,label,key,term,IRI,Status,ERROR,,,,,,,,,,,
aepyceros,,Weight,,body mass,OBA:VT0001259,in OBA,,,,,,,,,,,,
aepyceros,,Femur Width ML,,femur diaphysis breadth,FOVT:0001027,in FOVT,,,,,,,,,,,,
aepyceros,,Femur Width Shaft AP,,femur diaphysis depth,FOVT:0001033,in FOVT,,,,,,,,,,,,
aepyceros,,Femur Width Distal 1 (region above condyles and below patellar surface),,femur distal breadth,FOVT:0001029,in FOVT,,,,,,,,,,,,
aepyceros,,Femur Length,,femur length,OBA:VT0004348,in OBA,,,,,,,,,,,,
aepyceros,,Humerus Width Shaft ML,,humerus diaphysis breadth,FOVT:0001034,in FOVT,,,,,,,,,,,,
aepyceros,,Humerus Width Shaft  AP,,humerus diaphysis depth,FOVT:0001040,in FOVT,,,,,,,,,,,,
aepyceros,,Humerus Width Distal 1 (capitulum),,humerus trochlea breadth,FOVT:0001036,in FOVT,,,,,,,,,,,,
aepyceros,Scott,Humerus Width Distal 2 (epicondyles),,humerus distal breadth,FOVT:0001039,in FOVT,,,,,,,,,,,,
aepyceros,,Humerus Length,,humerus length,OBA:VT0004350,in OBA,,,,,,,,,,,,
aepyceros,,Humerus Width Proximal (humeral head),,humerus proximal breadth,FOVT:0001035,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal length M1,,upper molar tooth 1 occlusal surface length,FOVT:0001174,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal length M1_remeasured 11_2016,,upper molar tooth 1 occlusal surface length,FOVT:0001174,in FOVT,,,,,,,,,,,,Benjamini & Hochberg
aepyceros,,Occlusal width M1,,upper molar tooth 1 occlusal surface width,FOVT:0001167,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal width M1_remeasured 11_2016,,upper molar tooth 1 occlusal surface width,FOVT:0001167,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal length M2,,upper molar tooth 2 occlusal surface length,FOVT:0001188,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal length M2_remeasured 11_2016,,upper molar tooth 2 occlusal surface length,FOVT:0001188,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal width M2,,upper molar tooth 2 occlusal surface width,FOVT:0001181,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal width M2_remeasured 11_2016,,upper molar tooth 2 occlusal surface width,FOVT:0001181,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal length M3,,upper molar tooth 3 occlusal surface length,FOVT:0001201,in FOVT,,,,,,,,,,,,
aepyceros,,Occlusal length M3_remeasured 11_2016,,upper molar tooth 3 occlusal surface length,FOVT:0001201,in FOVT,,,,,,,,,,,,
